Zip Code,Population,Staff Needed,Senior Population (65+),,,,,,,
98001,34455,23,3445.5,,,,,,,
98002,33947,23,3394.7,,,,,,,
98003,49445,34,4944.5,,,,,,,l
98004,37265,25,3726.5,,,,,,,
98005,21414,14,2141.4,,,,,,,
98006,37473,26,3747.3,,,,,,,
98007,28147,19,2814.7,,,,,,,
98008,25650,17,2565,,,,,,,
98010,5882,4,588.2,,,,,,,
98011,34201,23,3420.1,,,,,,,
98012,70009,48,7000.9,,,,,,,
98014,7200,5,720,,,,,,,
98019,11841,8,1184.1,,,,,,,
98020,19010,13,1901,,,,,,,
98021,33382,23,3338.2,,,,,,,
98022,21296,14,2129.6,,,,,,,
98023,50176,34,5017.6,,,,,,,
98024,6635,4,663.5,,,,,,,
98026,38292,26,3829.2,,,,,,,
98027,30240,21,3024,,,,,,,
98028,22953,15,2295.3,,,,,,,
98029,29956,20,2995.6,,,,,,,
98030,37411,25,3741.1,,,,,,,
98031,38163,26,3816.3,,,,,,,
98032,38478,26,3847.8,,,,,,,
98033,39802,27,3980.2,,,,,,,
98034,45009,31,4500.9,,,,,,,
98036,40784,28,4078.4,,,,,,,
98037,29977,20,2997.7,,,,,,,
98038,36157,25,3615.7,,,,,,,
98039,3283,2,328.3,,,,,,,
98040,25820,17,2582,,,,,,,
98042,49118,34,4911.8,,,,,,,
98043,21328,14,2132.8,,,,,,,
98045,15174,10,1517.4,,,,,,,
98047,7012,4,701.2,,,,,,,
98050,523,1,52.3,,,,,,,
98051,4386,3,438.6,,,,,,,
98052,71940,49,7194,,,,,,,
98053,22911,15,2291.1,,,,,,,
98055,24077,16,2407.7,,,,,,,
98056,36625,25,3662.5,,,,,,,
98057,11534,8,1153.4,,,,,,,
98058,43482,30,4348.2,,,,,,,
98059,40693,28,4069.3,,,,,,,
98065,15896,11,1589.6,,,,,,,
98068,497,1,89.46,,,,,,,
98070,10400,7,1040,,,,,,,
98072,24865,17,2486.5,,,,,,,
98074,29349,20,2934.9,,,,,,,
98075,24435,16,2443.5,,,,,,,
98077,14407,10,1440.7,,,,,,,
98087,41594,28,4159.4,,,,,,,
98092,48962,34,4896.2,,,,,,,
98101,14380,9,1438,,,,,,,
98102,25887,17,2588.7,,,,,,,
98103,54194,37,5419.4,,,,,,,
98104,15155,10,1515.5,,,,,,,
98105,52290,36,5229,,,,,,,
98106,27997,19,2799.7,,,,,,,
98107,28025,19,2802.5,,,,,,,
98108,24034,16,2403.4,,,,,,,
98109,31011,21,3101.1,,,,,,,
98110,24859,17,5717.57,,,,,,,
98112,25694,17,2569.4,,,,,,,
98115,55519,38,5551.9,,,,,,,
98116,28705,19,2870.5,,,,,,,
98117,36647,25,3664.7,,,,,,,
98118,49702,34,4970.2,,,,,,,
98119,26898,18,2689.8,,,,,,,
98121,20534,14,2053.4,,,,,,,
98122,41152,28,4115.2,,,,,,,
98125,44030,30,4403,,,,,,,
98126,22681,15,2268.1,,,,,,,
98133,49476,34,4947.6,,,,,,,
98134,779,1,77.9,,,,,,,
98136,17083,11,1708.3,,,,,,,
98144,33175,23,3317.5,,,,,,,
98146,27622,19,2762.2,,,,,,,
98148,11514,7,1151.4,,,,,,,
98155,35420,24,3542,,,,,,,
98164,200,1,20,,,,,,,
98166,21772,15,2177.2,,,,,,,
98168,33217,23,3321.7,,,,,,,
98177,20422,14,2042.2,,,,,,,
98178,26507,18,2650.7,,,,,,,
98188,25292,17,2529.2,,,,,,,
98195,51,1,5.1,,,,,,,
98198,38699,26,3869.9,,,,,,,
98199,23444,16,2344.4,,,,,,,
98201,30645,21,3064.5,,,,,,,
98203,35901,24,3590.1,,,,,,,
98204,44152,30,4415.2,,,,,,,
98205,15784,10,1578.4,,,,,,,
98207,1435,1,143.5,,,,,,,
98208,58211,40,5821.1,,,,,,,
98220,839,1,151.02,,,,,,,
98221,22290,15,4012.2,,,,,,,
98222,89,1,25.81,,,,,,,
98223,46027,31,4602.7,,,,,,,
98224,243,1,24.3,,,,,,,
98225,51606,35,9289.08,,,,,,,
98226,45380,31,8168.4,,,,,,,
98229,33548,23,6038.64,,,,,,,
98230,17910,12,3223.8,,,,,,,
98232,4259,2,766.62,,,,,,,
98233,16324,11,2938.32,,,,,,,
98235,54,1,9.72,,,,,,,
98236,6140,4,1780.6,,,,,,,
98237,4762,3,857.16,,,,,,,
98238,40,1,7.2,,,,,,,
98239,7679,5,2226.91,,,,,,,
98240,2934,2,528.12,,,,,,,
98241,1941,1,194.1,,,,,,,
98243,548,1,158.92,,,,,,,
98244,3483,2,626.94,,,,,,,
98245,3767,2,1092.43,,,,,,,
98247,9105,6,1638.9,,,,,,,
98248,26552,18,4779.36,,,,,,,
98249,4458,3,1292.82,,,,,,,
98250,8318,5,2412.22,,,,,,,
98251,4084,2,408.4,,,,,,,
98252,9993,6,999.3,,,,,,,
98253,1726,1,500.54,,,,,,,
98255,182,1,32.76,,,,,,,
98256,369,1,36.9,,,,,,,
98257,4430,3,797.4,,,,,,,
98258,33545,23,3354.5,,,,,,,
98260,6024,4,1746.96,,,,,,,
98261,2808,1,814.32,,,,,,,
98262,955,1,171.9,,,,,,,
98263,49,1,8.82,,,,,,,
98264,21337,14,3840.66,,,,,,,
98266,4014,2,722.52,,,,,,,
98267,262,1,47.16,,,,,,,
98270,52307,36,5230.7,,,,,,,
98271,28473,19,2847.3,,,,,,,
98272,30801,21,3080.1,,,,,,,
98273,31725,22,5710.5,,,,,,,
98274,18346,12,3302.28,,,,,,,
98275,21432,14,2143.2,,,,,,,
98276,713,1,128.34,,,,,,,
98277,38844,26,11264.76,,,,,,,
98278,2243,1,650.47,,,,,,,
98279,693,1,200.97,,,,,,,
98280,384,1,111.36,,,,,,,
98281,1100,1,198,,,,,,,
98282,17073,11,4951.17,,,,,,,
98283,350,1,63,,,,,,,
98284,26268,18,4728.24,,,,,,,
98286,181,1,52.49,,,,,,,
98288,225,1,22.5,,,,,,,
98290,37077,25,3707.7,,,,,,,
98292,23063,16,2306.3,,,,,,,
98294,7310,5,731,,,,,,,
98295,2884,2,519.12,,,,,,,
98296,30781,21,3078.1,,,,,,,
98297,66,1,19.14,,,,,,,
98303,1571,1,157.1,,,,,,,
98304,1029,1,102.9,,,,,,,
98305,349,1,101.21,,,,,,,
98310,20431,14,4699.13,,,,,,,
98311,28042,19,6449.66,,,,,,,
98312,30437,21,7000.51,,,,,,,
98314,3270,2,752.1,,,,,,,
98315,6825,4,1569.75,,,,,,,
98320,1357,1,393.53,,,,,,,
98321,15976,11,4633.04,,,,,,,
98323,757,1,75.7,,,,,,,
98325,1321,1,383.09,,,,,,,
98326,840,1,243.6,,,,,,,
98327,9514,6,951.4,,,,,,,
98328,10763,7,1076.3,,,,,,,
98329,11063,7,1106.3,,,,,,,
98330,92,1,9.2,,,,,,,
98331,6228,4,1806.12,,,,,,,
98332,18940,13,1894,,,,,,,
98333,3613,2,361.3,,,,,,,
98335,27098,18,2709.8,,,,,,,
98336,824,1,148.32,,,,,,,
98337,7223,5,1661.29,,,,,,,
98338,28999,20,2899.9,,,,,,,
98339,3277,2,950.33,,,,,,,
98340,3421,2,786.83,,,,,,,
98342,1276,1,293.48,,,,,,,
98345,339,1,77.97,,,,,,,
98346,9273,6,2132.79,,,,,,,
98349,5090,3,509,,,,,,,
98350,520,1,52,,,,,,,
98351,1619,1,469.51,,,,,,,
98353,18,1,1.8,,,,,,,
98354,7551,5,755.1,,,,,,,
98355,846,1,152.28,,,,,,,
98356,2016,1,362.88,,,,,,,
98357,1638,1,475.02,,,,,,,
98358,943,1,273.47,,,,,,,
98359,5065,3,1164.95,,,,,,,
98360,14084,9,1408.4,,,,,,,
98361,696,1,125.28,,,,,,,
98362,24997,17,7249.13,,,,,,,
98363,14295,9,4145.55,,,,,,,
98364,82,1,18.86,,,,,,,
98365,4816,3,1396.64,,,,,,,
98366,35523,24,8170.29,,,,,,,
98367,30447,21,7002.81,,,,,,,
98368,16070,11,4660.3,,,,,,,
98370,32044,22,7370.12,,,,,,,
98371,21764,15,2176.4,,,,,,,
98372,26823,18,2682.3,,,,,,,
98373,27196,18,2719.6,,,,,,,
98374,44293,30,4429.3,,,,,,,
98375,32349,22,3234.9,,,,,,,
98376,2176,1,631.04,,,,,,,
98377,1845,1,332.1,,,,,,,
98380,4296,2,988.08,,,,,,,
98381,266,1,77.14,,,,,,,
98382,29214,20,8472.06,,,,,,,
98383,22825,15,5249.75,,,,,,,
98385,362,1,36.2,,,,,,,
98387,51305,35,5130.5,,,,,,,
98388,6682,4,668.2,,,,,,,
98390,11155,7,1115.5,,,,,,,
98391,52686,36,5268.6,,,,,,,
98392,3059,2,703.57,,,,,,,
98394,1331,1,133.1,,,,,,,
98396,749,1,74.9,,,,,,,
98402,6920,4,692,,,,,,,
98403,8169,5,816.9,,,,,,,
98404,36749,25,3674.9,,,,,,,
98405,23671,16,2367.1,,,,,,,
98406,23052,16,2305.2,,,,,,,
98407,21316,14,2131.6,,,,,,,
98408,20670,14,2067,,,,,,,
98409,27918,19,2791.8,,,,,,,
98416,973,1,97.3,,,,,,,
98418,9644,6,964.4,,,,,,,
98421,1346,1,134.6,,,,,,,
98422,21732,15,2173.2,,,,,,,
98424,11524,8,1152.4,,,,,,,
98433,20137,13,2013.7,,,,,,,
98438,610,1,61,,,,,,,
98439,5260,3,526,,,,,,,
98443,5335,3,533.5,,,,,,,
98444,35604,24,3560.4,,,,,,,
98445,31973,22,3197.3,,,,,,,
98446,11945,8,1194.5,,,,,,,
98447,744,1,74.4,,,,,,,
98465,6656,4,665.6,,,,,,,
98466,29401,20,2940.1,,,,,,,
98467,15381,10,1538.1,,,,,,,
98498,28764,19,2876.4,,,,,,,
98499,32174,22,3217.4,,,,,,,
98501,43584,30,7845.12,,,,,,,
98502,35307,24,6355.26,,,,,,,
98503,42119,29,7581.42,,,,,,,
98506,18404,12,3312.72,,,,,,,
98512,30833,21,5549.94,,,,,,,
98513,36473,25,6565.14,,,,,,,
98516,25332,17,4559.76,,,,,,,
98520,24936,17,4488.48,,,,,,,
98524,4220,2,970.6,,,,,,,
98526,198,1,45.54,,,,,,,
98527,227,1,65.83,,,,,,,
98528,12812,8,2946.76,,,,,,,
98530,608,1,109.44,,,,,,,
98531,26212,18,4718.16,,,,,,,
98532,25534,17,4596.12,,,,,,,
98533,451,1,81.18,,,,,,,
98535,614,1,110.52,,,,,,,
98536,61,1,10.98,,,,,,,
98537,2487,1,447.66,,,,,,,
98538,378,1,68.04,,,,,,,
98541,10858,7,1954.44,,,,,,,
98542,1080,1,194.4,,,,,,,
98544,80,1,14.4,,,,,,,
98546,3225,2,741.75,,,,,,,
98547,1420,1,255.6,,,,,,,
98548,1989,1,457.47,,,,,,,
98550,11307,7,2035.26,,,,,,,
98552,526,1,94.68,,,,,,,
98555,243,1,55.89,,,,,,,
98557,3384,2,609.12,,,,,,,
98558,64,1,6.4,,,,,,,
98560,104,1,23.92,,,,,,,
98562,49,1,8.82,,,,,,,
